symbol,name,description_original,description_eftcom,description_moringstar,merged_description
FDFF,Fidelity Covington Trust - Disruptive Fin ETF,"The fund normally invests at least 80% of assets in securities of disruptive finance companies. Fidelity's disruptive strategies seek to identify innovative developments that could signal new directions for delivering products and services to customers. Generally, these companies have or are developing new or unconventional ways of doing business that could disrupt and displace incumbents over time. The fund is non-diversified.","FDFF is an actively managed fund that invests in disruptive finance companies. These are organizations in the finance industry that are pushing for innovative developments that may significantly alter the way they deliver their products and services. The fund invests in securities of domestic and foreign issuers.

FDFF seeks long-term capital appreciation by utilizing proprietary disruptive strategies in identifying companies involved in disruptive technologies for its portfolio. Disruptive technologies are innovations that may reshape how businesses currently deliver their services and operate, potentially displacing industry leaders over time. The fund primarily invests in growth and value stocks of companies in disruptive finance globally. These are organizations offering digital finance solutions such as blockchain enabled financial services, digital payments, embedded finance and AI-enabled underwriting amongst others. The fund adviser uses fundamental analysis, looking into an issuers financial situation, management, etc., as well as economic and market conditions for its portfolio construction. The adviser may buy, sell and hold decisions at their discretion. FDFF converted from a mutual fund to an actively managed ETF, with $41 million in assets.","The investment seeks long-term growth of capital. The fund normally invests at least 80% of assets in securities of disruptive finance companies. Fidelity's disruptive strategies seek to identify innovative developments that could signal new directions for delivering products and services to customers. Generally, these companies have or are developing new or unconventional ways of doing business that could disrupt and displace incumbents over time. The fund is non-diversified.","This fund seeks long-term growth of capital by primarily investing in companies focused on disruptive innovation within the finance industry. It normally allocates at least 80% of its assets to securities of these companies, which are identified through proprietary strategies as having or developing new methods that could significantly alter how financial products and services are delivered and potentially displace existing players. These firms include those involved in digital finance solutions like blockchain, digital payments, embedded finance, and AI-enabled underwriting. The fund is actively managed, employing fundamental analysis to invest globally in both growth and value stocks of these domestic and foreign issuers. It is considered non-diversified."
EXI,iShares Global Industrials ETF,"The index measures the performance of companies that the index provider deems to be part of the industrials sector of the economy and that the index provider believes are important to global markets. The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.","EXI tracks a market-cap-weighted index of global industrial stocks.

EXI offers access to global industrials, providing reasonably marketlike coverage in a stable, accessible package. It excludes smaller firms by rule, favoring large-caps instead. The fund slightly overweights the firms that already dominate the space due to its market-cap weighting, but avoids geographic biases overall. The index constituents are individually selected by a committee from the S&P Global 1200, and narrowed down to include only those classified as industrials by GICS. EXI uses a sampling method, which means it will invest in a sample of securities that collectively have an investment profile similar to that of the underlying index. Rebalancing is done quarterly.","The investment seeks to track the investment results of the S&P Global 1200 Industrials IndexTM. The index measures the performance of companies that the index provider deems to be part of the industrials sector of the economy and that the index provider believes are important to global markets. The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.","This ETF aims to track the performance of the S&P Global 1200 Industrials Index, providing focused access to global industrials companies. The index measures the performance of companies selected from the S&P Global 1200 universe based on GICS classification and deemed important to global markets, employing a market-cap weighting scheme that tends to favor larger firms. The fund generally invests at least 80% of its assets in the component securities of this underlying index or investments with substantially identical economic characteristics, utilizing a sampling method. It may also invest up to 20% of assets in instruments like futures, options, swaps, and cash. The index constituents are selected by committee and are rebalanced quarterly."
ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,"The investment seeks investment results that correspond generally to the performance, before fees and expenses, of the MSCI ACWI ex USA ESG Leaders Index. The index is constructed using regional indexes that provide exposure to large- and medium-capitalization companies from developed and emerging markets countries (excluding the United States). The fund will normally invest at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in equity securities from countries other than the United States. The fund is non-diversified.",,,"This investment vehicle aims to track the performance of an index representing large and medium-capitalization companies across developed and emerging markets globally, specifically excluding the United States, by focusing on those identified as leaders in environmental, social, and governance (ESG) practices. The fund typically invests at least 80% of its assets in equity securities from countries other than the U.S. While providing broad international exposure (ex-USA), it is considered non-diversified."
XLE,The Energy Select Sector SPDR Fund,"The Energy Select Sector SPDR Fund seeks to provide investment results that, before expenses, correspond generally to the price and yield performance of the Energy Select Sector Index (the “Index”).The Index seeks to provide an effective representation of the energy sector of the S&P 500 Index.Seeks to provide precise exposure to companies in the oil, gas and consumable fuel, energy equipment and services industries.Allows investors to take strategic or tactical positions at a more targeted level than traditional style based investing.","XLE tracks a market-cap-weighted index of US energy companies in the S&P 500.

XLE offers liquid exposure to a market-like basket of US energy firms. Market-like in the context of the energy sector means concentrated exposure to the giants in the industry, including companies in the oil, gas and consumable fuels, and energy equipment and services industries as identified by GICS. XLE pulls its stocks from the S&P 500 rather than the total market, so its portfolio mainly favors large-caps. Holdings are weighted by market cap, subject to a capping methodology that ensures no single security exceeds 25% at each quarterly rebalance.","The investment seeks to provide investment results that, before expenses, correspond generally to the price and yield performance of publicly traded equity securities of companies in the Energy Select Sector Index. In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Energy companies by the GICS®, including securities of companies from the following industries: oil, gas and consumable fuels; and energy equipment and services. It is non-diversified.","This ETF aims to provide investment results corresponding to the price and yield performance of an index representing the energy sector of the S&P 500. It employs a replication strategy, investing substantially all assets in publicly traded equity securities of companies classified by GICS within the oil, gas and consumable fuels, and energy equipment and services industries. The fund offers concentrated, non-diversified exposure, primarily to large-cap energy firms from the S&P 500, weighted by market capitalization subject to a capping methodology that limits single security exposure to 25% at quarterly rebalances. This structure provides liquid access for strategic or tactical positioning within the US energy sector."
GGME,Invesco Next Gen Media and Gaming ETF,The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index. The underlying index is composed of securities of companies with significant exposure to technologies or products that contribute to future media through direct revenue. The fund is non-diversified.,"GGME tracks an index of securities that derive a majority of their revenue to the future media industry. These components may be from any market-cap, and from any geography.

GGME seeks to track an index of large- to small-cap companies from developed and emerging markets that derive at least 50% of their revenue from subsectors that relate to future media. These component securities are expected to benefit from long-term structural trends driven by technological and societal change, which may have a substantial impact on their performance. Index securities are weighted proportionally to their free-float market capitalization, multiplied by aggregate revenue exposure to the applicable subsectors. Rebalancing is done quarterly starting in March, and reviewed annually in June. Prior to August 28, 2023, the fund was named Invesco Dynamic Media ETF, with ticker PBS, and tracked the Dynamic Media Intellidex Index.",The investment seeks to track the investment results (before fees and expenses) of the STOXX World AC NexGen Media Index. The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index. The underlying index is composed of securities of companies with significant exposure to technologies or products that contribute to future media through direct revenue. The fund is non-diversified.,"This ETF seeks to track an index composed of companies with significant exposure to the future media industry. It generally invests at least 90% of its assets in the securities of this underlying index. The index constituents are drawn from developed and emerging markets globally, covering a range of market capitalizations from large to small. Companies included are those that derive at least 50% of their revenue from technologies or products contributing to future media, and are weighted proportionally to their free-float market capitalization multiplied by their aggregate revenue exposure to relevant subsectors. The index undergoes quarterly rebalancing and an annual review. The fund is structured as non-diversified."
WUGI,Esoterica NextG Economy ETF,"The fund is an actively-managed ETF that will invest, under normal circumstances, at least 80% of its total assets in domestic and foreign equity securities of companies whose economic fortunes are significantly tied to the fifth generation digital cellular network technology (""5G"") enabled digital economy, including companies involved in the production of 5G technology and companies that may benefit from the use of 5G. The fund is non-diversified.","WUGI is an actively-managed portfolio of global companies involved in the 5G-enabled digital economy.

WUGI is the first actively-managed ETF that invests in the 5G-enabled digital economy. The fund has exposure to firms of any market cap from both developed and emerging countries. The 5G digital economy involves both producers of the 5G technologies and their end-users like e-commerce companies. These are the firms anticipated to benefit the most from the adoption of 5G technology. WUGI uses internal and external research to select companies from the following three groups: Infrastructure - focused in 5G communication infrastructure network including transmission, and radio access network, or cloud computing infrastructure, Edge Devices - focused on access of 5G networks by end users, such as cellular phone and baseband processor, and Services - involved in video streaming, cloud gaming, autonomous driving, AR/VR, IoT and remote surgery. The fund adviser selects stocks with the best risk-reward opportunities using a top-down and bottom-up approach.","The investment seeks capital appreciation. The fund is an actively-managed ETF. Under normal circumstances, the fund will invest 80% of its net assets (plus any borrowings for investment purposes) in domestic and foreign equity securities of companies that are relevant to the fifth generation digital cellular network technology (“5G”) enabled digital economy, including companies involved in the production of 5G technology and companies that may benefit from the use of 5G, such as companies engaged in e-commerce or internet sales. The fund is non-diversified.","This actively-managed ETF seeks capital appreciation by investing at least 80% of its assets in domestic and foreign equity securities of companies relevant to the fifth generation (5G) enabled digital economy. The fund targets companies whose economic fortunes are significantly tied to this theme, encompassing both producers of 5G technology infrastructure and edge devices, as well as companies expected to benefit substantially from 5G adoption through services like e-commerce, streaming, gaming, IoT, and autonomous systems. The portfolio includes global firms across any market capitalization from developed and emerging countries, selected through a research-driven approach focusing on risk-reward opportunities. As a non-diversified fund, it concentrates its investments on a narrower range of securities within this specific theme."
GINN,Goldman Sachs Innovate Equity ETF,"The fund seeks to achieve its investment objective by investing at least 80% of its assets in securities included in its index, in depositary receipts representing securities included in its index and in underlying stocks in respect of depositary receipts included in its index. The index is designed to deliver exposure to companies that may benefit from technological innovation and the resulting changes in the economy across five key themes that are potential drivers of changes in the economy.","GINN tracks an index that selects companies globally, believed to benefit from technological innovation and changes in the economy across five themes: data, finance, human evolution, manufacturing, and shifts with consumers.

GINN launches out of the consolidation of five thematic ETFs: New Age Consumer, Data-Driven World, Human Evolution, Finance Reimagined, and Manufacturing Revolution. Total assets at launch date were $307,712,434 with shares outstanding 6,150,000. An algorithm screens public information and company filings for keywords tied to any sub-theme related to the five key themes. For each sub-theme, securities are scored for thematic relevance, and the 50 highest-scoring securities are eligible for index inclusion. Relevance scores for all sub-themes are combined to calculate each eligible companys overall score. The top 100 companies in each theme are included in the underlying index. Holdings are weighted in the index according to a combination of market cap and thematic beta calculation, subject to a capping methodology. The objective is to give more weight to stocks with higher relevance while providing equal weighting to each theme. The index is rebalanced quarterly.","The investment seeks to provide investment results that closely correspond, before fees and expenses, to the performance of the Solactive Innovative Global Equity Index. The fund seeks to achieve its investment objective by investing at least 80% of its assets in securities included in its index, in depositary receipts representing securities included in its index and in underlying stocks in respect of depositary receipts included in its index. The index is designed to deliver exposure to companies that may benefit from technological innovation and the resulting changes in the economy across five key themes that are potential drivers of changes in the economy.","This ETF seeks to provide investment results corresponding to an index that tracks global companies positioned to benefit from technological innovation and resulting changes across the economy. The index focuses on companies relevant to five key themes identified as potential drivers of these changes: data, finance, human evolution, manufacturing, and shifts with consumers. It invests predominantly in securities included in this index, which are selected through an algorithmic process that scores companies based on their thematic relevance to sub-themes within the five main areas. Holdings are weighted based on a combination of market capitalization and thematic relevance, aiming to give more weight to highly relevant stocks while providing balanced exposure across the five key themes, and the index is rebalanced quarterly."
KLXY,KraneShares Trust,"KLXY aims to replicate a global index that is composed of companies related to the luxury sector of developed countries. This refers to firms engaged in travel & leisure, premium ware and apparel, luxury goods, and other similar industries. To be included in the index, securities undergo screening based on minimum size, trading volume, and country of listing. Eligible securities are then ranked by market cap, with the top 25 being selected. The index follows a modified market-cap weighted approach, assigning higher weights to the top 5 securities. The largest receives 10% weight, followed by incrementally decreasing allocations for the remaining top securities. The rest are then capped at a maximum weight of 4.5%. Furthermore, while the fund targets investments in the US, at least 40% of its assets will be invested in foreign entities, markets or firms with considerable business activities outside the United States. The index is rebalanced semi-annually and reconstituted yearly.","KLXY aims to replicate a global index that is composed of companies related to the luxury sector of developed countries. This refers to firms engaged in travel & leisure, premium ware and apparel, luxury goods, and other similar industries. To be included in the index, securities undergo screening based on minimum size, trading volume, and country of listing. Eligible securities are then ranked by market cap, with the top 25 being selected. The index follows a modified market-cap weighted approach, assigning higher weights to the top 5 securities. The largest receives 10% weight, followed by incrementally decreasing allocations for the remaining top securities. The rest are then capped at a maximum weight of 4.5%. Furthermore, while the fund targets investments in the US, at least 40% of its assets will be invested in foreign entities, markets or firms with considerable business activities outside the United States. The index is rebalanced semi-annually and reconstituted yearly.","The investment seeks to provide investment results that, before fees and expenses, correspond generally to the price and yield performance of the Solactive Global Luxury Index. Under normal circumstances, the fund will invest at least 80% of its net assets in instruments in its underlying index or in instruments that have economic characteristics similar to those in the underlying index. The underlying index is a modified, free float adjusted market capitalization weighted index designed to measure the equity performance of companies in developed markets from global luxury-related sectors. The fund is non-diversified.","Seeking to replicate the performance of a global index, this ETF provides exposure to companies within the luxury sector of developed markets. The index targets firms involved in areas such as travel & leisure, premium ware and apparel, and luxury goods. Constituents are selected from eligible securities, screened by criteria including size, trading volume, and country of listing, with the top 25 chosen based on market capitalization. The index employs a modified market-cap weighting scheme, providing greater weight to the top five holdings (the largest capped at 10%) and limiting others to a maximum of 4.5%. Although it targets US investments, the fund ensures global exposure with at least 40% of assets allocated to foreign entities or markets. This investment vehicle is classified as non-diversified. The underlying index is rebalanced semi-annually and reconstituted annually."
FDLO,Fidelity Low Volatility Factor ETF,"The fund normally invests at least 80% of assets in securities included in the Fidelity U.S. Low Volatility Factor Index?, which is designed to reflect the performance of stocks of large and mid-capitalization U.S. companies with lower volatility than the broader market. It may lend securities to earn income for the fund.","FDLO tracks an index of large- and mid-cap US stocks selected for low volatility of returns and earnings.

FDLO hunts among the 1,000 largest US stocks for those with low volatility of returns and earnings. Potential holdings are screened using a scoring system based on three metrics: low volatility of returns, low beta, and low earnings volatility. Factor scores are also scaled by market cap. The portfolio is weighted so that sector exposure reflects the neutral market, with holdings within sectors weighted by a combination of market cap and factor score. The fund is rebalanced twice annually.","The investment seeks to provide investment returns that correspond, before fees and expenses, generally to the performance of the Fidelity U.S. Low Volatility Factor Index℠. The fund normally invests at least 80% of assets in securities included in the Fidelity U.S. Low Volatility Factor Index℠, which is designed to reflect the performance of stocks of large and mid-capitalization U.S. companies with lower volatility than the broader market. It invests in lending securities to earn income for the fund.","This ETF is designed to track the performance of an index focused on large and mid-capitalization U.S. stocks with lower volatility than the broader market. It seeks to identify potential holdings from a universe of the 1,000 largest US stocks based on factors like low volatility of returns, low beta, and low earnings volatility, using a scoring system scaled by market cap. The portfolio is constructed to reflect a sector-neutral weighting relative to the market, with securities within sectors weighted by a combination of their market capitalization and factor score. The fund typically invests at least 80% of its assets in the securities included in its target index and is rebalanced twice annually. Additionally, it may lend securities to generate income."
CROP,IQ Global Agribusiness Small Cap ETF,"The investment seeks investment results that correspond generally to the price and yield performance of its underlying index, the IQ Global Agribusiness Small Cap Index. The fund invests at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in the investments included in its underlying index. The underlying index is a rules based, modified capitalization weighted, float adjusted index intended to give investors a means of tracking the overall performance of the global, small capitalization sector of publicly traded companies that are engaged primarily in the agribusiness sector. The fund is non-diversified.",,,"This fund is designed to track the performance of a global index focused on small-capitalization companies primarily engaged in the agribusiness sector. It seeks investment results that generally correspond to the price and yield performance of its underlying index. The underlying index is rules-based, modified market capitalization weighted, and float-adjusted, providing exposure to publicly traded small-cap companies worldwide within the agribusiness theme. The fund aims to achieve its investment objective by investing at least 80% of its assets in the investments included in this index. The fund is non-diversified."
