symbol,name,merged_description,description_original,description_etfcom,description_yahoo,description_morningstar
ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,"This investment fund seeks to track the performance of an index comprising large- and medium-capitalization companies from developed and emerging markets, specifically excluding the United States. The underlying index focuses on firms recognized as leaders in environmental, social, and governance (ESG) practices. Correspondingly, the fund invests primarily in equity securities from non-U.S. countries, allocating at least 80% of its assets to such holdings. It operates as a non-diversified fund.","The investment seeks investment results that correspond generally to the performance, before fees and expenses, of the MSCI ACWI ex USA ESG Leaders Index. The index is constructed using regional indexes that provide exposure to large- and medium-capitalization companies from developed and emerging markets countries (excluding the United States). The fund will normally invest at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in equity securities from countries other than the United States. The fund is non-diversified.",,"The investment seeks investment results that correspond generally to the performance, before fees and expenses, of the MSCI ACWI ex USA ESG Leaders Index.
 The index is constructed using regional indexes that provide exposure to large- and medium-capitalization companies from developed and emerging markets countries (excluding the United States). The fund will normally invest at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in equity securities from countries other than the United States. The fund is non-diversified.",
GGME,Invesco Next Gen Media and Gaming ETF,"This investment vehicle seeks to capture the evolution of the media landscape by tracking an index composed of global companies, spanning various market capitalizations from both developed and emerging markets. Inclusion requires companies to derive a significant portion, specifically at least 50%, of their revenue directly from technologies or products contributing to the future of media. The fund predominantly invests, committing at least 90% of its assets, in these constituent securities which are weighted based on free-float market capitalization adjusted for their revenue exposure to these forward-looking themes. Rebalanced quarterly, this non-diversified fund focuses on businesses positioned to potentially benefit from long-term structural trends driven by technological and societal shifts transforming media.",The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index. The underlying index is composed of securities of companies with significant exposure to technologies or products that contribute to future media through direct revenue. The fund is non-diversified.,"GGME tracks an index of securities that derive a majority of their revenue to the future media industry. These components may be from any market-cap, and from any geography.

GGME seeks to track an index of large- to small-cap companies from developed and emerging markets that derive at least 50% of their revenue from subsectors that relate to future media. These component securities are expected to benefit from long-term structural trends driven by technological and societal change, which may have a substantial impact on their performance. Index securities are weighted proportionally to their free-float market capitalization, multiplied by aggregate revenue exposure to the applicable subsectors. Rebalancing is done quarterly starting in March, and reviewed annually in June. Prior to August 28, 2023, the fund was named Invesco Dynamic Media ETF, with ticker PBS, and tracked the Dynamic Media Intellidex Index.",,The investment seeks to track the investment results (before fees and expenses) of the STOXX World AC NexGen Media Index. The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index. The underlying index is composed of securities of companies with significant exposure to technologies or products that contribute to future media through direct revenue. The fund is non-diversified.
XLE,The Energy Select Sector SPDR Fund,"This investment fund seeks to provide results, before expenses, that generally correspond to the price and yield performance of an index representing the energy sector component of the S&P 500. Employing a replication strategy, it invests substantially all (at least 95%) of its assets in the index's constituent securities, which are primarily large-cap U.S. energy companies identified by GICS® within the oil, gas and consumable fuels, and energy equipment and services industries. Holdings are market-cap weighted, subject to capping restrictions to limit single security concentration at rebalance, though the fund remains non-diversified. Consequently, it offers targeted, liquid exposure concentrated in the major players of the U.S. energy market, suitable for strategic or tactical positioning.","The Energy Select Sector SPDR Fund seeks to provide investment results that, before expenses, correspond generally to the price and yield performance of the Energy Select Sector Index (the “Index”).The Index seeks to provide an effective representation of the energy sector of the S&P 500 Index.Seeks to provide precise exposure to companies in the oil, gas and consumable fuel, energy equipment and services industries.Allows investors to take strategic or tactical positions at a more targeted level than traditional style based investing.","XLE tracks a market-cap-weighted index of US energy companies in the S&P 500.

XLE offers liquid exposure to a market-like basket of US energy firms. Market-like in the context of the energy sector means concentrated exposure to the giants in the industry, including companies in the oil, gas and consumable fuels, and energy equipment and services industries as identified by GICS. XLE pulls its stocks from the S&P 500 rather than the total market, so its portfolio mainly favors large-caps. Holdings are weighted by market cap, subject to a capping methodology that ensures no single security exceeds 25% at each quarterly rebalance.","In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Energy companies by the GICS®, including securities of companies from the following industries: oil, gas and consumable fuels; and energy equipment and services. It is non-diversified.","The investment seeks to provide investment results that, before expenses, correspond generally to the price and yield performance of publicly traded equity securities of companies in the Energy Select Sector Index. In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Energy companies by the GICS®, including securities of companies from the following industries: oil, gas and consumable fuels; and energy equipment and services. It is non-diversified."
EXI,iShares Global Industrials ETF,"This fund provides focused exposure to the global industrials sector by tracking a market-cap-weighted index. Its underlying index comprises large-cap industrial companies, selected from a broader global benchmark based on their importance to global markets and GICS classification, thereby excluding smaller firms. While offering reasonably market-like coverage without significant geographic bias, the cap-weighting slightly favors the largest companies. The fund utilizes a sampling methodology to replicate the index performance, generally investing at least 80% of its assets in representative securities, while allowing for up to 20% in derivatives and cash equivalents, with quarterly rebalancing.","The index measures the performance of companies that the index provider deems to be part of the industrials sector of the economy and that the index provider believes are important to global markets. The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.","EXI tracks a market-cap-weighted index of global industrial stocks.

EXI offers access to global industrials, providing reasonably marketlike coverage in a stable, accessible package. It excludes smaller firms by rule, favoring large-caps instead. The fund slightly overweights the firms that already dominate the space due to its market-cap weighting, but avoids geographic biases overall. The index constituents are individually selected by a committee from the S&P Global 1200, and narrowed down to include only those classified as industrials by GICS. EXI uses a sampling method, which means it will invest in a sample of securities that collectively have an investment profile similar to that of the underlying index. Rebalancing is done quarterly.",,"The investment seeks to track the investment results of the S&P Global 1200 Industrials IndexTM. The index measures the performance of companies that the index provider deems to be part of the industrials sector of the economy and that the index provider believes are important to global markets. The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
FDFF,Fidelity Covington Trust - Disruptive Fin ETF,"This actively managed fund seeks long-term capital appreciation by investing globally in disruptive finance companies. It normally allocates at least 80% of its assets to domestic and foreign issuers developing innovative technologies or unconventional business models poised to reshape the financial services industry and potentially displace established players over time. Utilizing proprietary strategies and fundamental analysis, the adviser selects primarily growth and value stocks focused on areas like blockchain-enabled services, digital payments, embedded finance, and AI-driven underwriting, making discretionary investment decisions. The fund is non-diversified and was converted from a mutual fund structure.","The fund normally invests at least 80% of assets in securities of disruptive finance companies. Fidelity's disruptive strategies seek to identify innovative developments that could signal new directions for delivering products and services to customers. Generally, these companies have or are developing new or unconventional ways of doing business that could disrupt and displace incumbents over time. The fund is non-diversified.","FDFF is an actively managed fund that invests in disruptive finance companies. These are organizations in the finance industry that are pushing for innovative developments that may significantly alter the way they deliver their products and services. The fund invests in securities of domestic and foreign issuers.

FDFF seeks long-term capital appreciation by utilizing proprietary disruptive strategies in identifying companies involved in disruptive technologies for its portfolio. Disruptive technologies are innovations that may reshape how businesses currently deliver their services and operate, potentially displacing industry leaders over time. The fund primarily invests in growth and value stocks of companies in disruptive finance globally. These are organizations offering digital finance solutions such as blockchain enabled financial services, digital payments, embedded finance and AI-enabled underwriting amongst others. The fund adviser uses fundamental analysis, looking into an issuers financial situation, management, etc., as well as economic and market conditions for its portfolio construction. The adviser may buy, sell and hold decisions at their discretion. FDFF converted from a mutual fund to an actively managed ETF, with $41 million in assets.",,"The investment seeks long-term growth of capital. The fund normally invests at least 80% of assets in securities of disruptive finance companies. Fidelity's disruptive strategies seek to identify innovative developments that could signal new directions for delivering products and services to customers. Generally, these companies have or are developing new or unconventional ways of doing business that could disrupt and displace incumbents over time. The fund is non-diversified."
GINN,Goldman Sachs Innovate Equity ETF,"This investment vehicle tracks the Solactive Innovative Global Equity Index, providing exposure to global companies poised to benefit from technological innovation and related economic shifts. Its strategy concentrates on five key themes: data, finance, human evolution, manufacturing, and consumer changes. Uniquely formed through the consolidation of five prior thematic funds, it utilizes an algorithm to select index components by screening public information and scoring companies based on thematic relevance. Holdings are weighted using a combination of market capitalization and thematic relevance scores, aiming for balanced exposure across the five themes, subject to capping rules. The fund invests at least 80% of its assets in securities within its underlying index, which is rebalanced quarterly.","The fund seeks to achieve its investment objective by investing at least 80% of its assets in securities included in its index, in depositary receipts representing securities included in its index and in underlying stocks in respect of depositary receipts included in its index. The index is designed to deliver exposure to companies that may benefit from technological innovation and the resulting changes in the economy across five key themes that are potential drivers of changes in the economy.","GINN tracks an index that selects companies globally, believed to benefit from technological innovation and changes in the economy across five themes: data, finance, human evolution, manufacturing, and shifts with consumers.

GINN launches out of the consolidation of five thematic ETFs: New Age Consumer, Data-Driven World, Human Evolution, Finance Reimagined, and Manufacturing Revolution. Total assets at launch date were $307,712,434 with shares outstanding 6,150,000. An algorithm screens public information and company filings for keywords tied to any sub-theme related to the five key themes. For each sub-theme, securities are scored for thematic relevance, and the 50 highest-scoring securities are eligible for index inclusion. Relevance scores for all sub-themes are combined to calculate each eligible companys overall score. The top 100 companies in each theme are included in the underlying index. Holdings are weighted in the index according to a combination of market cap and thematic beta calculation, subject to a capping methodology. The objective is to give more weight to stocks with higher relevance while providing equal weighting to each theme. The index is rebalanced quarterly.",,"The investment seeks to provide investment results that closely correspond, before fees and expenses, to the performance of the Solactive Innovative Global Equity Index. The fund seeks to achieve its investment objective by investing at least 80% of its assets in securities included in its index, in depositary receipts representing securities included in its index and in underlying stocks in respect of depositary receipts included in its index. The index is designed to deliver exposure to companies that may benefit from technological innovation and the resulting changes in the economy across five key themes that are potential drivers of changes in the economy."
WUGI,Esoterica NextG Economy ETF,"Seeking capital appreciation, this actively managed, non-diversified ETF focuses on the 5G-enabled digital economy by investing at least 80% of its assets in global equity securities of relevant companies. It includes firms of any market capitalization from both developed and emerging markets whose economic fortunes are significantly tied to 5G. The strategy targets both the producers of 5G technology (across infrastructure, cloud computing, and edge devices) and the companies poised to benefit from its use (such as those in e-commerce, video streaming, cloud gaming, autonomous driving, AR/VR, IoT, and remote surgery). Utilizing a top-down and bottom-up research approach, the advisor selects stocks perceived to offer the best risk-reward opportunities within this technological theme.","The fund is an actively-managed ETF that will invest, under normal circumstances, at least 80% of its total assets in domestic and foreign equity securities of companies whose economic fortunes are significantly tied to the fifth generation digital cellular network technology (""5G"") enabled digital economy, including companies involved in the production of 5G technology and companies that may benefit from the use of 5G. The fund is non-diversified.","WUGI is an actively-managed portfolio of global companies involved in the 5G-enabled digital economy.

WUGI is the first actively-managed ETF that invests in the 5G-enabled digital economy. The fund has exposure to firms of any market cap from both developed and emerging countries. The 5G digital economy involves both producers of the 5G technologies and their end-users like e-commerce companies. These are the firms anticipated to benefit the most from the adoption of 5G technology. WUGI uses internal and external research to select companies from the following three groups: Infrastructure - focused in 5G communication infrastructure network including transmission, and radio access network, or cloud computing infrastructure, Edge Devices - focused on access of 5G networks by end users, such as cellular phone and baseband processor, and Services - involved in video streaming, cloud gaming, autonomous driving, AR/VR, IoT and remote surgery. The fund adviser selects stocks with the best risk-reward opportunities using a top-down and bottom-up approach.","The fund is an actively-managed ETF. Under normal circumstances, the fund will invest 80% of its net assets (plus any borrowings for investment purposes) in domestic and foreign equity securities of companies that are relevant to the fifth generation digital cellular network technology (“5G”) enabled digital economy, including companies involved in the production of 5G technology and companies that may benefit from the use of 5G, such as companies engaged in e-commerce or internet sales. The fund is non-diversified.","The investment seeks capital appreciation. The fund is an actively-managed ETF. Under normal circumstances, the fund will invest 80% of its net assets (plus any borrowings for investment purposes) in domestic and foreign equity securities of companies that are relevant to the fifth generation digital cellular network technology (“5G”) enabled digital economy, including companies involved in the production of 5G technology and companies that may benefit from the use of 5G, such as companies engaged in e-commerce or internet sales. The fund is non-diversified."
DEF,Invesco Defensive Equity ETF,"This exchange-traded fund invests primarily in an underlying index composed of a subset of securities drawn from the S&P 500® Index. Its core strategy focuses on identifying companies exhibiting the most stable annual gross profit margins over the preceding five years. To qualify for inclusion, companies must also demonstrate a consistent history of positive profitability during that period and pass a screening process that removes those with the highest debt-to-market capitalization ratios. The resulting portfolio emphasizes a defensive equity approach, holding companies selected for consistent profitability and relative financial health, typically utilizing an equal-weighting methodology with quarterly rebalancing.",The fund generally will invest at least 80% of its total assets in the securities that comprise the underlying index. The underlying index is comprised of a subset of securities from the S&P 500® Index (the S&P 500). The fund will concentrate its investments in securities of issuers in any one industry or group of industries only to the extent that the underlying index reflects a concentration in that industry or group of industries.,"POWA screens the US large- and mid-cap universe based on four factors: profitability history, market cap sector ranking, debt-to-market cap ratio, and gross margin stability. Securities must have positive profit margin for the previous five years. From these names, the top 50 securities by market-cap within each sector are considered. The bottom 10% of securities within each sector that have the worst debt-to-market capitalization ratio are removed. Of the remaining 50 securities with the most stable profit margin are included in the index. Holdings are equal-weighted and rebalanced quarterly. On October 24, 2016, the underlying index changed from the Sabrient Defensive Equity Index to Invesco Defensive Equity Index. Prior to August 28, 2023 the fund traded under the name Invesco Defensive Equity ETF, and used ticker DEF. The underlying index was also changed at that time to the current index.",The fund generally will invest at least 80% of its total assets in the securities that comprise the underlying index. The underlying index focuses on companies that have the smallest deviations among their annual gross profit margins over the last five years.. The fund will concentrate its investments in securities of issuers in any one industry or group of industries only to the extent that the underlying index reflects a concentration in that industry or group of industries.,
KLXY,KraneShares Trust,"This fund provides exposure to the global luxury goods and services sector by seeking to mirror the performance of a specialized index targeting developed markets. The underlying index comprises the top 25 companies engaged in luxury-related industries, such as premium apparel, travel, and leisure, selected after screening for minimum size and trading volume. It employs a modified, free-float adjusted market-capitalization weighting methodology that concentrates holdings by assigning significantly higher weights to the five largest companies—starting at 10% for the largest—while capping remaining constituents at 4.5%. Characterized as non-diversified, the fund invests at least 80% of its assets in securities mirroring its index and ensures significant global reach by allocating a minimum of 40% to foreign entities or markets. The index maintains its focus through annual reconstitution and semi-annual rebalancing.","KLXY aims to replicate a global index that is composed of companies related to the luxury sector of developed countries. This refers to firms engaged in travel & leisure, premium ware and apparel, luxury goods, and other similar industries. To be included in the index, securities undergo screening based on minimum size, trading volume, and country of listing. Eligible securities are then ranked by market cap, with the top 25 being selected. The index follows a modified market-cap weighted approach, assigning higher weights to the top 5 securities. The largest receives 10% weight, followed by incrementally decreasing allocations for the remaining top securities. The rest are then capped at a maximum weight of 4.5%. Furthermore, while the fund targets investments in the US, at least 40% of its assets will be invested in foreign entities, markets or firms with considerable business activities outside the United States. The index is rebalanced semi-annually and reconstituted yearly.","KLXY aims to replicate a global index that is composed of companies related to the luxury sector of developed countries. This refers to firms engaged in travel & leisure, premium ware and apparel, luxury goods, and other similar industries. To be included in the index, securities undergo screening based on minimum size, trading volume, and country of listing. Eligible securities are then ranked by market cap, with the top 25 being selected. The index follows a modified market-cap weighted approach, assigning higher weights to the top 5 securities. The largest receives 10% weight, followed by incrementally decreasing allocations for the remaining top securities. The rest are then capped at a maximum weight of 4.5%. Furthermore, while the fund targets investments in the US, at least 40% of its assets will be invested in foreign entities, markets or firms with considerable business activities outside the United States. The index is rebalanced semi-annually and reconstituted yearly.","Under normal circumstances, the fund will invest at least 80% of its net assets in instruments in its underlying index or in instruments that have economic characteristics similar to those in the underlying index. The underlying index is a modified, free float adjusted market capitalization weighted index designed to measure the equity performance of companies in developed markets from global luxury-related sectors. The fund is non-diversified.","The investment seeks to provide investment results that, before fees and expenses, correspond generally to the price and yield performance of the Solactive Global Luxury Index. Under normal circumstances, the fund will invest at least 80% of its net assets in instruments in its underlying index or in instruments that have economic characteristics similar to those in the underlying index. The underlying index is a modified, free float adjusted market capitalization weighted index designed to measure the equity performance of companies in developed markets from global luxury-related sectors. The fund is non-diversified."
FDLO,Fidelity Low Volatility Factor ETF,"This fund invests primarily in large and mid-capitalization U.S. equities selected for lower volatility characteristics compared to the broader market. It draws its holdings from the 1,000 largest U.S. stocks, employing a specific methodology that screens for low volatility of returns, low beta, and low earnings volatility, with factor scores scaled by market capitalization. The portfolio aims for sector exposure comparable to the neutral market, weighting holdings within sectors using a combination of market cap and factor scores. Typically investing at least 80% of its assets according to this strategy, the fund is rebalanced semi-annually and may lend securities to potentially generate additional income.","The fund normally invests at least 80% of assets in securities included in the Fidelity U.S. Low Volatility Factor Index?, which is designed to reflect the performance of stocks of large and mid-capitalization U.S. companies with lower volatility than the broader market. It may lend securities to earn income for the fund.","FDLO tracks an index of large- and mid-cap US stocks selected for low volatility of returns and earnings.

FDLO hunts among the 1,000 largest US stocks for those with low volatility of returns and earnings. Potential holdings are screened using a scoring system based on three metrics: low volatility of returns, low beta, and low earnings volatility. Factor scores are also scaled by market cap. The portfolio is weighted so that sector exposure reflects the neutral market, with holdings within sectors weighted by a combination of market cap and factor score. The fund is rebalanced twice annually.","The fund normally invests at least 80% of assets in securities included in the Fidelity U.S. Low Volatility Factor Index?, which is designed to reflect the performance of stocks of large and mid-capitalization U.S. companies with lower volatility than the broader market. It invests in lending securities to earn income for the fund.","The investment seeks to provide investment returns that correspond, before fees and expenses, generally to the performance of the Fidelity U.S. Low Volatility Factor Index℠. The fund normally invests at least 80% of assets in securities included in the Fidelity U.S. Low Volatility Factor Index℠, which is designed to reflect the performance of stocks of large and mid-capitalization U.S. companies with lower volatility than the broader market. It invests in lending securities to earn income for the fund."
