etf,etf_desc,query,index
AUMI,"The Themes Gold Miners ETF (AUMI) seeks to track the Solactive Global Pure Gold Miners Index, providing exposure to companies active in the gold mining industry globally. The ETF aims to replicate the index by investing at least 80% of its net assets in the underlying securities and related ADRs/GDRs. The index is market-cap weighted and composed of the largest gold mining companies around the world, selected based on criteria including size and liquidity, with final composition decisions made by an index committee. Components are weighted proportionally by free float market-cap, capped at 4.75%. The fund is non-diversified and may lend securities up to one-third of its assets.",List major global gold mining companies,general
AUMI,"The Themes Gold Miners ETF (AUMI) seeks to track the Solactive Global Pure Gold Miners Index, providing exposure to companies active in the gold mining industry globally. The ETF aims to replicate the index by investing at least 80% of its net assets in the underlying securities and related ADRs/GDRs. The index is market-cap weighted and composed of the largest gold mining companies around the world, selected based on criteria including size and liquidity, with final composition decisions made by an index committee. Components are weighted proportionally by free float market-cap, capped at 4.75%. The fund is non-diversified and may lend securities up to one-third of its assets.",What are the leading stocks in the gold extraction industry?,general
AUMI,"The Themes Gold Miners ETF (AUMI) seeks to track the Solactive Global Pure Gold Miners Index, providing exposure to companies active in the gold mining industry globally. The ETF aims to replicate the index by investing at least 80% of its net assets in the underlying securities and related ADRs/GDRs. The index is market-cap weighted and composed of the largest gold mining companies around the world, selected based on criteria including size and liquidity, with final composition decisions made by an index committee. Components are weighted proportionally by free float market-cap, capped at 4.75%. The fund is non-diversified and may lend securities up to one-third of its assets.",Find large-cap gold mining stocks traded globally,specific
AUMI,"The Themes Gold Miners ETF (AUMI) seeks to track the Solactive Global Pure Gold Miners Index, providing exposure to companies active in the gold mining industry globally. The ETF aims to replicate the index by investing at least 80% of its net assets in the underlying securities and related ADRs/GDRs. The index is market-cap weighted and composed of the largest gold mining companies around the world, selected based on criteria including size and liquidity, with final composition decisions made by an index committee. Components are weighted proportionally by free float market-cap, capped at 4.75%. The fund is non-diversified and may lend securities up to one-third of its assets.",Show me gold exploration and production companies with market caps over $10 billion,specific
FBT,"The First Trust NYSE Arca Biotechnology UCITS ETF seeks investment results corresponding to the NYSE Arca Biotechnology Index. The fund normally invests at least 90% of its net assets in the securities comprising this index, which is designed to measure the performance of approximately 30 leading US biotechnology companies. The index employs an equal-dollar weighting methodology and is reconstituted and rebalanced quarterly, providing relatively concentrated exposure to companies involved in using biological processes to develop products or provide services.",What are some major biotechnology stocks to invest in?,general
FBT,"The First Trust NYSE Arca Biotechnology UCITS ETF seeks investment results corresponding to the NYSE Arca Biotechnology Index. The fund normally invests at least 90% of its net assets in the securities comprising this index, which is designed to measure the performance of approximately 30 leading US biotechnology companies. The index employs an equal-dollar weighting methodology and is reconstituted and rebalanced quarterly, providing relatively concentrated exposure to companies involved in using biological processes to develop products or provide services.",Show me a list of US biotech companies.,general
FBT,"The First Trust NYSE Arca Biotechnology UCITS ETF seeks investment results corresponding to the NYSE Arca Biotechnology Index. The fund normally invests at least 90% of its net assets in the securities comprising this index, which is designed to measure the performance of approximately 30 leading US biotechnology companies. The index employs an equal-dollar weighting methodology and is reconstituted and rebalanced quarterly, providing relatively concentrated exposure to companies involved in using biological processes to develop products or provide services.",List leading US biotechnology stocks by market capitalization.,specific
FBT,"The First Trust NYSE Arca Biotechnology UCITS ETF seeks investment results corresponding to the NYSE Arca Biotechnology Index. The fund normally invests at least 90% of its net assets in the securities comprising this index, which is designed to measure the performance of approximately 30 leading US biotechnology companies. The index employs an equal-dollar weighting methodology and is reconstituted and rebalanced quarterly, providing relatively concentrated exposure to companies involved in using biological processes to develop products or provide services.",Find US biotechnology companies focused on developing new drugs.,specific
PXI,"The Invesco DWA Energy Momentum ETF (PXI) seeks to track the Dorsey Wright® Energy Technical Leaders Index, which identifies US energy stocks exhibiting powerful relative strength or momentum characteristics based on upward price movements. The index selects the top 30 momentum-scoring stocks within the energy sector from a universe of eligible securities, weighting them such that higher scores receive greater weight. The ETF generally invests at least 90% of its total assets in these index constituents. The index is reconstituted and rebalanced quarterly, often resulting in a portfolio that may tilt towards smaller-cap growth stocks and potentially involve somewhat higher risk due to its momentum focus.",Leading US energy stocks with strong price performance,general
PXI,"The Invesco DWA Energy Momentum ETF (PXI) seeks to track the Dorsey Wright® Energy Technical Leaders Index, which identifies US energy stocks exhibiting powerful relative strength or momentum characteristics based on upward price movements. The index selects the top 30 momentum-scoring stocks within the energy sector from a universe of eligible securities, weighting them such that higher scores receive greater weight. The ETF generally invests at least 90% of its total assets in these index constituents. The index is reconstituted and rebalanced quarterly, often resulting in a portfolio that may tilt towards smaller-cap growth stocks and potentially involve somewhat higher risk due to its momentum focus.",List stocks in the US energy sector,general
PXI,"The Invesco DWA Energy Momentum ETF (PXI) seeks to track the Dorsey Wright® Energy Technical Leaders Index, which identifies US energy stocks exhibiting powerful relative strength or momentum characteristics based on upward price movements. The index selects the top 30 momentum-scoring stocks within the energy sector from a universe of eligible securities, weighting them such that higher scores receive greater weight. The ETF generally invests at least 90% of its total assets in these index constituents. The index is reconstituted and rebalanced quarterly, often resulting in a portfolio that may tilt towards smaller-cap growth stocks and potentially involve somewhat higher risk due to its momentum focus.",Show me US energy stocks with high momentum scores,specific
PXI,"The Invesco DWA Energy Momentum ETF (PXI) seeks to track the Dorsey Wright® Energy Technical Leaders Index, which identifies US energy stocks exhibiting powerful relative strength or momentum characteristics based on upward price movements. The index selects the top 30 momentum-scoring stocks within the energy sector from a universe of eligible securities, weighting them such that higher scores receive greater weight. The ETF generally invests at least 90% of its total assets in these index constituents. The index is reconstituted and rebalanced quarterly, often resulting in a portfolio that may tilt towards smaller-cap growth stocks and potentially involve somewhat higher risk due to its momentum focus.","Find US energy stocks exhibiting relative strength, potentially small-cap",specific
IBUY,"The Amplify Online Retail ETF (IBUY) seeks investment results that correspond to the EQM Online Retail Index, targeting capital appreciation by investing at least 80% of net assets in global equity securities. The fund focuses on publicly traded companies that derive at least 70% of their revenue from the online retail business, utilizing common stocks, ADRs, and GDRs. These stocks are equally weighted within two geographic buckets – US and foreign – with US securities receiving a minimum 75% weight. This equal weighting aims to add diversity and avoid dominance by large firms but may also introduce bias towards smaller companies. Overall, IBUY provides targeted, diversified global exposure to the online retail sector through a methodology that rebalances semi-annually.",List top online retail companies,general
IBUY,"The Amplify Online Retail ETF (IBUY) seeks investment results that correspond to the EQM Online Retail Index, targeting capital appreciation by investing at least 80% of net assets in global equity securities. The fund focuses on publicly traded companies that derive at least 70% of their revenue from the online retail business, utilizing common stocks, ADRs, and GDRs. These stocks are equally weighted within two geographic buckets – US and foreign – with US securities receiving a minimum 75% weight. This equal weighting aims to add diversity and avoid dominance by large firms but may also introduce bias towards smaller companies. Overall, IBUY provides targeted, diversified global exposure to the online retail sector through a methodology that rebalances semi-annually.",Show me e-commerce stocks to invest in,general
IBUY,"The Amplify Online Retail ETF (IBUY) seeks investment results that correspond to the EQM Online Retail Index, targeting capital appreciation by investing at least 80% of net assets in global equity securities. The fund focuses on publicly traded companies that derive at least 70% of their revenue from the online retail business, utilizing common stocks, ADRs, and GDRs. These stocks are equally weighted within two geographic buckets – US and foreign – with US securities receiving a minimum 75% weight. This equal weighting aims to add diversity and avoid dominance by large firms but may also introduce bias towards smaller companies. Overall, IBUY provides targeted, diversified global exposure to the online retail sector through a methodology that rebalances semi-annually.",Find global stocks generating most revenue from online sales,specific
IBUY,"The Amplify Online Retail ETF (IBUY) seeks investment results that correspond to the EQM Online Retail Index, targeting capital appreciation by investing at least 80% of net assets in global equity securities. The fund focuses on publicly traded companies that derive at least 70% of their revenue from the online retail business, utilizing common stocks, ADRs, and GDRs. These stocks are equally weighted within two geographic buckets – US and foreign – with US securities receiving a minimum 75% weight. This equal weighting aims to add diversity and avoid dominance by large firms but may also introduce bias towards smaller companies. Overall, IBUY provides targeted, diversified global exposure to the online retail sector through a methodology that rebalances semi-annually.",Show me US online retail stocks outside of the mega-caps,specific
JHMF,"The John Hancock Multifactor Financials ETF is an exchange-traded fund that typically invests at least 80% of its net assets in securities comprising its underlying index. The fund focuses on the U.S. financials sector, with the index designed to include companies whose market capitalizations are larger than that of the 1001st largest U.S. company at the time of reconstitution, employing a multifactor approach within this defined universe.",List major US financial sector stocks.,general
JHMF,"The John Hancock Multifactor Financials ETF is an exchange-traded fund that typically invests at least 80% of its net assets in securities comprising its underlying index. The fund focuses on the U.S. financials sector, with the index designed to include companies whose market capitalizations are larger than that of the 1001st largest U.S. company at the time of reconstitution, employing a multifactor approach within this defined universe.",Show me large and mid-cap US financial companies.,general
JHMF,"The John Hancock Multifactor Financials ETF is an exchange-traded fund that typically invests at least 80% of its net assets in securities comprising its underlying index. The fund focuses on the U.S. financials sector, with the index designed to include companies whose market capitalizations are larger than that of the 1001st largest U.S. company at the time of reconstitution, employing a multifactor approach within this defined universe.",Find US financial stocks with market cap above $5 billion.,specific
JHMF,"The John Hancock Multifactor Financials ETF is an exchange-traded fund that typically invests at least 80% of its net assets in securities comprising its underlying index. The fund focuses on the U.S. financials sector, with the index designed to include companies whose market capitalizations are larger than that of the 1001st largest U.S. company at the time of reconstitution, employing a multifactor approach within this defined universe.",Which US financial companies are not considered small-cap?,specific
TPAY,"The Ecofin Digital Payments Infrastructure Fund focuses on companies involved in digital payments, normally investing at least 80% of its net assets in Digital Payments Companies. It tracks a proprietary, rules-based, modified market capitalization weighted, float adjusted index designed to measure the performance of equity securities of Digital Payments Companies listed on developed country exchanges.",List stocks in the digital payments sector,general
TPAY,"The Ecofin Digital Payments Infrastructure Fund focuses on companies involved in digital payments, normally investing at least 80% of its net assets in Digital Payments Companies. It tracks a proprietary, rules-based, modified market capitalization weighted, float adjusted index designed to measure the performance of equity securities of Digital Payments Companies listed on developed country exchanges.",Show me companies providing payment technology services,general
