MIC,ticker,CIK,ISIN,GICS Sector,GICS Industry
XNYS,FRO,0000913290,CY0200352116,10,101020
XNYS,SXT,0000310142,US81725T1007,15,151010
XNCM,CVV,0000766792,US1266011030,45,453010
XNYS,ALE,0000066756,US0185223007,55,551010
XNGS,FIZZ,0000069891,US6350171061,30,302010
XNYS,BMI,0000009092,US0565251081,45,452030
XNYS,DVN,0001090012,US25179M1036,10,101020
XNMS,EML,0000031107,US2763171046,20,201060
XNMS,FEIM,0000039020,US3580101067,45,452030
XNYS,GHM,0000716314,US3845561063,20,201060
XNYS,GRC,0000042682,US3830821043,20,201060
XNYS,DINO,0001915657,US4039491000,10,101020
XNYS,UMH,0000752642,US9030021037,60,601060
XNYS,NBR,0001163739,BMG6359F1370,10,101010
XNYS,NVR,0000906163,US62944T1051,25,252010
XNYS,OLP,0000712770,US6824061039,60,601010
XNYS,LCII,0000763744,US50189K1034,25,251010
XNYS,TPC,0000077543,US9011091082,20,201030
XNCM,IMNN,0000749647,US15117N6022,35,352010
XNYS,RRX,0000082811,US7587501039,20,201040
XNMS,SGC,0000095574,US8683581024,25,252030
XNGS,SJW,0000766829,US7843051043,55,551040
XNYS,TDS,0001051512,US8794338298,50,501020
XNYS,TISI,0000318833,US8781553081,20,202010
XNYS,USM,0000821130,US9116841084,50,501020
XNYS,UTL,0000755001,US9132591077,55,551030
XNMS,VIRC,0000751365,US9276511097,20,202010
XNGS,ATNI,0000879585,US00215F1075,50,501010
XNYS,CTO,0000023795,US22948Q1013,60,601010
XNCM,ERNA,0000748592,US1140822099,35,352010
XNMS,UG,0000101295,US9105711082,30,303020
XNYS,CCRD,0000320340,US45816D1000,45,451030
XNMS,SGA,0000886136,US7865983008,50,502010
XNMS,NTIC,0000875582,US6658091094,15,151010
XNYS,SSB,0000764038,US8404411097,40,401010
XNMS,CMCT,0000908311,US1255255275,60,601040
XNYS,AVD,0000005981,US0303711081,15,151010
XNYS,BHLB,0001108134,US0846801076,40,401010
XNYS,BTI,0001068892,US1104481072,30,302030
XNCM,CARV,0001016178,US1468756044,40,401010
XNGS,BCPC,0000009326,US0576652004,15,151010
XNGS,CAC,0000750686,US1330341082,40,401010
XNCM,INO,0001055726,US45773H4092,35,352010
XNYS,MLP,0000063330,US5773451019,60,602010
XNMS,MPB,0000879635,US59540G1076,40,401010
XNGS,SYBT,0000835324,US8610251048,40,401010
XNYS,DAR,0000916540,US2372661015,30,302020
XNYS,MSA,0000066570,US5534981064,20,202010
XNMS,NBN,0000811831,US66405S1006,40,401010
XNCM,ASRT,0001808665,US04546C2052,35,352020
XNYS,RNST,0000715072,US75970E1073,40,401010
XNYS,LGF.A,0000929351,US5359194017,50,502020
XNYS,NAT,0001000177,BMG657731060,10,101020
XNMS,IDN,0001040896,US45817G2012,45,451030
XNMS,UNB,0000706863,US9054001071,40,401010
XNYS,ZBH,0001136869,US98956P1021,35,351010
XNYS,GSK,0001131399,US37733W2044,35,352020
XNYS,OIS,0001121484,US6780261052,10,101010
XNYS,PRA,0001127703,US74267C1062,40,403010
XNYS,USB,0000036104,US9029733048,40,401010
XNYS,MPX,0001129155,US5684271084,25,252020
XNYS,AMX,0001129137,US02390A1016,50,501020
XNYS,MCO,0001059556,US6153691059,40,402030
XNYS,RDY,0001135951,US2561352038,35,352020
XNYS,BN,0001001085,US11271J1079,40,402030
XNYS,ITGR,0001114483,US45826H1095,35,351010
XNYS,KMPR,0000860748,US4884011002,40,403010
XNYS,CCI,0001051470,US22822V1017,60,601080
XNYS,JPM,0000019617,US46625H1005,40,401010
XNGS,EXC,0001109357,US30161N1019,55,551010
XNYS,MYE,0000069488,US6284641098,15,151030
XNYS,BFH,0001101215,US0185811082,40,402020
XNYS,WKC,0000789460,US9814751064,10,101020
XNYS,UFI,0000100726,US9046772003,25,252030
XNYS,MTG,0000876437,US5528481030,40,402010
XNYS,RGR,0000095029,US8641591081,25,252020
XNYS,ALL,0000899051,US0200021014,40,403010
XNYS,UNH,0000731766,US91324P1021,35,351020
XNYS,NNN,0000751364,US6374171063,60,601070
XNYS,RGA,0000898174,US7593516047,40,403010
XNYS,ESE,0000866706,US2963151046,20,201060
XNYS,OMC,0000029989,US6819191064,50,502010
XNYS,PHI,0000078150,US69344D4088,50,501020
XNYS,ELS,0000895417,US29472R1086,60,601060
XNYS,ORI,0000074260,US6802231042,40,403010
XNYS,HMN,0000850141,US4403271046,40,403010
XNYS,AKR,0000899629,US0042391096,60,601070
XNYS,CDE,0000215466,US1921085049,15,151040
XNYS,DY,0000067215,US2674751019,20,201030
XNYS,EIX,0000827052,US2810201077,55,551010
XNYS,HWM,0000004281,US4432011082,20,201010
XNYS,ABM,0000771497,US0009571003,20,202010
XNYS,ABT,0000001800,US0028241000,35,351010
XNYS,ABX,0000756894,CA0679011084,15,151040
XNGS,ADI,0000006281,US0326541051,45,453010
XNYS,ADM,0000007084,US0394831020,30,302020
XNGS,AEP,0000004904,US0255371017,55,551010
XNYS,AFL,0000004977,US0010551028,40,403010
XNYS,HES,0000004447,US42809H1077,10,101020
XNYS,AIG,0000005272,US0268747849,40,403010
XNYS,AIN,0000819793,US0123481089,20,201060
XNYS,AIR,0000001750,US0003611052,20,201010
XNYS,AJG,0000354190,US3635761097,40,403010
XNYS,ALK,0000766421,US0116591092,20,203020
XNYS,ALX,0000003499,US0147521092,60,601070
XNGS,AMD,0000002488,US0079031078,45,453010
XNYS,AON,0000315293,IE00BLP1HW54,40,403010
XNGS,APA,0001841666,US03743Q1085,10,101020
XNYS,APD,0000002969,US0091581068,15,151010
XNYS,AP,0000006176,US0320371034,15,151040
XNYS,ARW,0000007536,US0427351004,45,452030
XNYS,ASH,0001674862,US0441861046,15,151010
XNYS,ATO,0000731802,US0495601058,55,551020
XNGS,AVT,0000008858,US0538071038,45,452030
XNYS,AVY,0000008818,US0536111091,15,151030
XNYS,AXP,0000004962,US0258161092,40,402020
XNYS,AXR,0000006207,US0321591051,60,602010
XNYS,BAX,0000010456,US0718131099,35,351010
XNYS,BA,0000012927,US0970231058,20,201010
XNYS,BBVA,0000842180,US05946K1016,40,401010
XNYS,BBY,0000764478,US0865161014,25,255040
XNYS,BCS,0000312069,US06738E2046,40,401010
XNYS,BC,0000014930,US1170431092,25,252020
XNYS,BDX,0000010795,US0758871091,35,351010
XNYS,BEN,0000038777,US3546131018,40,402030
XNYS,EMN,0000915389,US2774321002,15,151010
XNGS,BKR,0001701605,US05722G1004,10,101010
XNYS,BHP,0001171264,US0886061086,15,151040
XNYS,BKH,0001130464,US0921131092,55,551030
XNYS,BK,0001390777,US0640581007,40,402030
XNYS,BALL,0000009389,US0584981064,15,151030
XNYS,BMY,0000014272,US1101221083,35,352020
XNYS,BRT,0000014846,US0556453035,60,601060
XNYS,MTRN,0001104657,US5766901012,15,151040
XNYS,B,0000009984,US0678061096,20,201060
XNYS,CAG,0000023217,US2058871029,30,302020
XNYS,CAT,0000018230,US1491231015,20,201060
XNYS,CBT,0000016040,US1270551013,15,151010
XNGS,CCEP,0001650107,GB00BDCPN049,30,302010
XNYS,CCK,0001219601,US2283681060,15,151030
XNYS,CHD,0000313927,US1713401024,30,303010
XNYS,CHE,0000019584,US16359R1032,35,351020
XNYS,CI,0001739940,US1255231003,35,351020
XNYS,CLF,0000764065,US1858991011,15,151040
XNYS,CLX,0000021076,US1890541097,30,303010
XNYS,CL,0000021665,US1941621039,30,303010
XNYS,CMC,0000022444,US2017231034,15,151040
XNYS,CMS,0000811156,US1258961002,55,551030
XNYS,CNA,0000021175,US1261171003,40,403010
XNGS,COO,0000711404,US2166485019,35,351010
XNGS,CPB,0000016732,US1344291091,30,302020
XNYS,CRS,0000017843,US1442851036,15,151040
XNYS,CXT,0000025445,US2244411052,45,452030
XNYS,DXC,0001688568,US23355L1061,45,451020
XNGS,REG,0000910606,US7588491032,60,601070
XNYS,CSL,0000790051,US1423391002,20,201020
XNGS,CSX,0000277948,US1264081035,20,203040
